"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","","","154","","userregister.UserRegisterNegativeTests","","userregister.UserRegisterNegativeTests","","passwordIsRequired",""
"passed","","","150","","userregister.UserRegisterNegativeTests","","userregister.UserRegisterNegativeTests","","nameIsRequired",""
"passed","","","148","","userupdate.UserUpdateNegativeTest","","userupdate.UserUpdateNegativeTest","","userDataCannotBeUpdatedWithoutAuth",""
"passed","","","750","","userlogin.UserLoginNegativeTests","","userlogin.UserLoginNegativeTests","","loginWithWrongPassword",""
"passed","","","709","","userlogin.UserLoginPositiveTest","","userlogin.UserLoginPositiveTest","","userCanLogin",""
"passed","","","333","","userregister.UserRegisterNegativeTests","","userregister.UserRegisterNegativeTests","","sameUserCannotBeRegistrated",""
"passed","","","1224","","userupdate.UserUpdatePositiveTest","","userupdate.UserUpdatePositiveTest","","userDataCanBeUpdated",""
"passed","","","143","","userregister.UserRegisterNegativeTests","","userregister.UserRegisterNegativeTests","","emailIsRequired",""
"passed","","","1406","","createorder.CreateOrderPositiveTest","","createorder.CreateOrderPositiveTest","","OrderCanBeCreated",""
"passed","","","961","","createorder.CreateOrderNegativeTest","","createorder.CreateOrderNegativeTest","","OrderCannotBeCreatedWithWrongIngredients",""
"passed","","","961","","getorder.GetUserOrderWithoutAuthTest","","getorder.GetUserOrderWithoutAuthTest","","orderListCanBeGottenWithAuth",""
"passed","","","862","","createorder.CreateOrderNegativeTest","","createorder.CreateOrderNegativeTest","","OrderCannotBeCreatedWithoutIngredients",""
"passed","","","1132","","createorder.CreateOrderPositiveTest","","createorder.CreateOrderPositiveTest","","OrderCanBeCreatedWithoutAuth",""
"passed","","","605","","userregister.UserRegisterPositiveTest","","userregister.UserRegisterPositiveTest","","userCanBeRegistrated",""
"passed","","","672","","userlogin.UserLoginNegativeTests","","userlogin.UserLoginNegativeTests","","loginWithWrongEmail",""
"passed","","","4059","","getorder.GetUserOrderWithAuthTest","","getorder.GetUserOrderWithAuthTest","","orderListCanBeGottenWithAuth",""
